çå®æµåº¦,é¢æµæµåº¦,Unnamed: 2,AlertScore,AlertLevel,Level
151.4,159.79417,23.411068,194.910772,1,1
376.2,365.36197,28.81504,408.58453,2,2
528.7,542.2275,30.03855,587.285325,3,2
137.6,49.723885,23.228868,84.567187,1,1
733.5,733.45856,30.674637,779.4705155,3,3
889,866.6345,32.540596,915.445394,4,4
555.7,632.955,31.38715,680.035725,3,2
538.4,546.87726,30.920881,593.2585815,3,2
938,931.08105,33.035046,980.633619,4,4
61.8,62.043293,24.443823,98.7090275,1,1
181.2,155.60385,22.956684,190.038876,1,1
973.9,980.80023,33.445244,1030.968096,4,4
546.9,705.7176,31.622093,753.1507395,3,2
739.8,618.2508,32.62541,667.188915,3,3
566.1,490.16513,31.124847,536.8524005,2,2
673.9,699.3485,30.754732,745.480598,3,3
839.9,724.12885,32.441444,772.791016,3,4
357.6,347.83722,28.12962,390.03165,2,2
835,928.7254,31.580046,976.095469,4,4
973.9,885.3834,33.114983,935.0558745,4,4
927.5,974.1064,31.576414,1021.471021,4,4
955.3,954.54535,32.22812,1002.88753,4,4
467.2,367.4932,29.845928,412.262092,2,2
789,791.0892,33.00776,840.60084,4,3
417.8,406.6611,27.070019,447.2661285,2,2
145.3,127.467094,22.684532,161.493892,1,1
321.3,306.35666,25.197678,344.153177,2,2
529.7,569.64636,28.684292,612.672798,3,2
55,38.8925,21.680275,71.4129125,1,1
36.9,85.24334,23.33648,120.24806,1,1
540.5,468.60034,29.503147,512.8550605,2,2
361.4,428.96082,29.09005,472.595895,2,2
227,219.40022,27.316381,260.3747915,1,1
241.1,258.68326,28.03407,300.734365,1,1
789,794.8827,30.866055,841.1817825,4,3
878.1,773.3102,32.12612,821.49938,4,4
830.9,811.0625,32.572124,859.920686,4,4
236.5,238.54956,25.042866,276.113859,1,1
64.6,107.74519,24.346497,144.2649355,1,1
264.4,153.04938,21.559746,185.388999,1,1
865.8,916.49677,33.008625,966.0097075,4,4
626.2,742.62616,31.0694,789.23026,3,3
53.9,52.83683,24.022865,88.8711275,1,1
151.4,164.58716,21.13401,196.288175,1,1
376.2,256.2546,26.042574,295.318461,1,2
967.6,834.2681,31.100826,880.919339,4,4
855.1,827.64886,32.566574,876.498721,4,4
462.5,472.91568,29.043589,516.4810635,2,2
737.6,835.2409,33.547577,885.5622655,4,3
852.3,708.94586,32.600636,757.846814,3,4
336.8,355.85712,28.68382,398.88285,2,2
288.6,260.60837,26.772802,300.767573,1,1
64.6,85.40374,26.409267,125.0176405,1,1
256.1,253.0346,25.224955,290.8720325,1,1
64.6,110.84769,25.140228,148.558032,1,1
46.4,67.23187,22.619999,101.1618685,1,1
121.9,109.79124,25.849545,148.5655575,1,1
336.8,379.92117,29.310244,423.886536,2,2
457,606.53656,30.406008,652.145572,3,2
852.3,820.82745,32.144943,869.0448645,4,4
548.6,525.4583,29.134817,569.1605255,2,2
535.8,602.6066,31.83524,650.35946,3,2
259.1,272.33264,25.938711,311.2407065,1,1
357.5,339.91513,29.192196,383.703424,2,2
366.8,399.5494,29.659168,444.038152,2,2
745.8,689.8931,31.905466,737.751299,3,3
968.8,773.18536,32.10775,821.346985,4,4
953.4,936.8979,30.206776,982.208064,4,4
825.3,710.3516,31.777151,758.0173265,3,4
181.2,157.12119,21.663036,189.615744,1,1
137.6,144.1394,21.533949,176.4403235,1,1
151.4,160.05817,23.603203,195.4629745,1,1
748.4,710.972,32.728436,760.064654,3,3
142.4,155.6141,21.544455,187.9307825,1,1
872.5,870.48474,31.064236,917.081094,4,4
978.8,933.0015,31.685467,980.5297005,4,4
151.4,154.9137,21.68149,187.435935,1,1
660.1,691.45667,32.162067,739.6997705,3,3
